,chembl_id,Predicted_Value
540,CHEMBL307145,[np.float32(5.2612514)]
541,CHEMBL1593558,[np.float32(5.1888413)]
542,CHEMBL2107679,[np.float32(4.9636145)]
543,CHEMBL1762,[np.float32(4.8463025)]
544,CHEMBL1319139,[np.float32(4.7801895)]
545,CHEMBL2104771,[np.float32(4.776043)]
546,CHEMBL2106678,[np.float32(4.7259645)]
547,CHEMBL1651990,[np.float32(4.700184)]
548,CHEMBL3989786,[np.float32(4.683959)]
549,CHEMBL1319362,[np.float32(4.5963445)]
550,CHEMBL1985928,[np.float32(4.5576196)]
551,CHEMBL1446650,[np.float32(4.3083467)]
552,CHEMBL54126,[np.float32(4.3074093)]
553,CHEMBL1213136,[np.float32(4.216597)]
554,CHEMBL1200353,[np.float32(4.0618696)]
555,CHEMBL1229846,[np.float32(4.0571585)]
556,CHEMBL1191,[np.float32(3.7370427)]
557,CHEMBL1229937,[np.float32(3.5060372)]
558,CHEMBL1628233,[np.float32(nan)]
559,CHEMBL650,[np.float32(8.496575)]
